ItemName,IMDb,TMDb,Timestamp,Intensity,Description,Type
Weapons (2025),tt26581740,1078605,00:11:51,Minor,There is a sudden knock at the door behind Justine.,Audio
Weapons (2025),tt26581740,1078605,00:23:55,Minor,There is a sudden audio scare as Justine notices Alex's parents sitting on the couch,Audio
Weapons (2025),tt26581740,1078605,00:25:08,Minor,Woman grabs Justine from behind and throws her to the ground,Combined
Weapons (2025),tt26581740,1078605,00:27:38,Major,Justine looks up to see a woman coming out of her ceiling.,Visual
Weapons (2025),tt26581740,1078605,00:41:10,Major,Matthew's face is replaced with a horrifying twisted visage.,Visual
Weapons (2025),tt26581740,1078605,01:04:00,Minor,James notices Alex's parents in the reflection of the TV. Accompanied by audio scare.,Combined
Weapons (2025),tt26581740,1078605,01:05:51,Minor,The children all spin suddenly to look at James,Visual
Weapons (2025),tt26581740,1078605,01:06:20,Minor,After exiting the basement a well-telegraphed scare reveals figures approaching from the other room accompanied by a stinger,Combined
Weapons (2025),tt26581740,1078605,01:20:19,Minor,Marcus attacks the man and spits on him and kills him,Combined
Weapons (2025),tt26581740,1078605,01:31:21,Minor,During a quiet moment the person in the doorway is startled upon realizing the person in bed is looking at them.,Visual
Weapons (2025),tt26581740,1078605,01:46:22,Minor,The woman standing at the door looks over accompanied by a sound effect,Combined
Weapons (2025),tt26581740,1078605,01:49:09,Minor,Alex steps to one side revealing James standing behind him. Accompanied by audio scare.,Combined
Weapons (2025),tt26581740,1078605,01:51:49,Major,As Justine steps on the salt someone comes screaming out of the darkness behind her.,Combined
Weapons (2025),tt26581740,1078605,01:54:10,Minor,After a quiet moment there's a cut to loud banging on a doorway and yelling that may startle sensitive viewers.,Audio
Weapons (2025),tt26581740,1078605,01:54:19,Minor,After exiting the bathroom a figure appears in the hallway doorway accompanied by a sound effect that may startle some viewers.,Combined
Weapons (2025),tt26581740,1078605,01:55:15,Minor,Loud bang through the door,Audio
Weapons (2025),tt26581740,1078605,01:56:17,Minor,Gladys comes screaming out of the darkness.,Combined
